stem,frequency,category,confidence,meaning_en,in_canonical_lexicon,example_words
plol,20,UNLISTED,UNCLASSIFIED,?,False,
ostho,20,UNLISTED,UNCLASSIFIED,?,False,
plš,20,UNLISTED,UNCLASSIFIED,?,False,
stod,20,UNLISTED,UNCLASSIFIED,?,False,
opr,20,UNLISTED,UNCLASSIFIED,?,False,
osthor,19,UNLISTED,UNCLASSIFIED,?,False,
ora,19,UNLISTED,UNCLASSIFIED,?,False,
plolh,19,UNLISTED,UNCLASSIFIED,?,False,
ostol,19,UNLISTED,UNCLASSIFIED,?,False,
oest,19,UNLISTED,UNCLASSIFIED,?,False,
heom,18,grammar,CANDIDATE,with the [aforementioned],True,heom(13);iinheom(1);sheom(1)
rhor,18,UNLISTED,UNCLASSIFIED,?,False,
olhe,18,UNLISTED,UNCLASSIFIED,?,False,
ista,18,UNLISTED,UNCLASSIFIED,?,False,
ctrhh,18,UNLISTED,UNCLASSIFIED,?,False,
tral,18,UNLISTED,UNCLASSIFIED,?,False,
dheo,18,UNLISTED,UNCLASSIFIED,?,False,
treod,18,UNLISTED,UNCLASSIFIED,?,False,
itro,18,UNLISTED,UNCLASSIFIED,?,False,
ihor,17,UNLISTED,UNCLASSIFIED,?,False,
plhor,17,UNLISTED,UNCLASSIFIED,?,False,
dše,17,UNLISTED,UNCLASSIFIED,?,False,
plhod,17,UNLISTED,UNCLASSIFIED,?,False,
ctrhe,17,UNLISTED,UNCLASSIFIED,?,False,
oplhe,17,UNLISTED,UNCLASSIFIED,?,False,
csthe,17,UNLISTED,UNCLASSIFIED,?,False,
stol,17,UNLISTED,UNCLASSIFIED,?,False,
reh,17,UNLISTED,UNCLASSIFIED,?,False,
alo,17,UNLISTED,UNCLASSIFIED,?,False,
lor,17,UNLISTED,UNCLASSIFIED,?,False,
dist,17,UNLISTED,UNCLASSIFIED,?,False,
rod,17,UNLISTED,UNCLASSIFIED,?,False,
aro,16,UNLISTED,UNCLASSIFIED,?,False,
osteol,16,UNLISTED,UNCLASSIFIED,?,False,
alh,16,UNLISTED,UNCLASSIFIED,?,False,
olsta,16,UNLISTED,UNCLASSIFIED,?,False,
ihed,16,UNLISTED,UNCLASSIFIED,?,False,
olsth,16,UNLISTED,UNCLASSIFIED,?,False,
ke,16,UNLISTED,UNCLASSIFIED,?,False,
isteor,15,UNLISTED,UNCLASSIFIED,?,False,
osthd,15,UNLISTED,UNCLASSIFIED,?,False,
trhe,15,UNLISTED,UNCLASSIFIED,?,False,
oplhed,15,UNLISTED,UNCLASSIFIED,?,False,
eor,15,UNLISTED,UNCLASSIFIED,?,False,
oda,15,UNLISTED,UNCLASSIFIED,?,False,
ala,14,UNLISTED,UNCLASSIFIED,?,False,
iheor,14,UNLISTED,UNCLASSIFIED,?,False,
stšo,14,UNLISTED,UNCLASSIFIED,?,False,
rara,14,UNLISTED,UNCLASSIFIED,?,False,
olsteo,14,UNLISTED,UNCLASSIFIED,?,False,
