
operator,stem,suffix,count
da,m<-><plant>,,34
qo,dar,,34
da,iin<$><plant>,,34
,yt,ol,34
ok,e,al,34
ch,okee,y,34
pc,hedar,,34
ok,eeo,dy,34
,opai,in,34
ot,eeo,dy,34
ot,eeo,,34
ys,he,dy,34
ch,om,,33
qo,kchor,,33
qo,te,ol,33
,yte,y,33
ch,cph,y,33
ds,hor,,33
,opar,,33
,kee,ol,33
yk,eeo,dy,33
sh,et,y,33
qo,kee,ol,33
qo,ko,dy,32
sh,ees,,32
ch,eodai,in,32
ch,kar,,32
,ytam,,32
,ytche,dy,32
sh,edy<$>,,32
ch,dam,,32
,olke,y,32
,(f72r2,,32
,lo,,32
sh,od,,31
ch,ote,y,31
qo,t,,31
ok,eeor,,31
,ytchor,,31
qo,kcho,,31
ch,odar,,31
,te,y,31
qo,k,,31
,al,dy,31
ok,eo,,31
ok,ees,,31
pc,he,y,31
,l,y,31
sh,ek,,31
,ar,ol,31
ot,she,dy,31
qo,kl,,31
,(f102v2,,31
,cthai,in,30
,olshee,y,30
qo,ksh,y,30
sh,eod,,30
ch,t,y,30
ds,ho,,30
ch,ee,ol,30
,octh,y,30
qo,kedar,,30
,or,al,30
da,im,,30
,barrel>,,30
sh,os,,29
yk,,ol,29
da,ii,in,29
,ytche,y,29
qo,ar,,29
qo,or,,29
ok,sh,y,29
ds,h,y,29
ch,eockh,y,29
ot,ol,dy,29
,rche,y,29
ch,ka,in,29
,ypche,dy,29
,ls,,29
ch,ek,al,29
,olchee,y,29
,al,ol,29
,with,,29
,(f70v2,,29
ok,eee,dy,29
yk,or,,28
ok,cho,,28
qo,tcho,,28
yc,heor,,28
da,r<-><plant>,,28
sh,eai,in,28
sh,cthe,y,28
qo,pche,y,28
yk,a,in,28
sa,m,,28
ot,eo,,28
,oram,,28
,dressed>,,28
sh,eet,y,28
,(f89v2,,28
da,,an,27
ch,r,,27
sh,okch,y,27
,ksho,,27
,oa,in,27
ch,ey<$>,,27
,oii,in,27
ys,hee,y,27
qo,fche,dy,27
ch,ekai,in,27
qo,ked,,27
yk,ee,ol,27
qo,to,dy,27
ch,ot,al,27
ch,cthe,y,27
,ckhee,y,27
qo,teo,dy,27
,no,,27
,star,,27
,tail>,,27
sh,a,in,26
,oees,,26
tc,ho,dy,26
,keeo,,26
,olche,ol,26
,lr,,26
qo,keeor,,26
ok,ed,al,26
qo,kal,dy,26
ch,ekar,,26
,keee,y,26
