page,line,raw_text,clean_text,avg_conf
187,2,":t""""'r'-^*,, ff« .f, 11 .  ,K«. i-Kr, IV.^ f-'E-'iJ:''''""' r!e",":tr-,, ff .f, 11 . ,K. i-Kr, IV. f-E-iJ: re",94.37096774193549
188,1,"'        f I.e.,    X^»   •>    '    '^-l  •'""^•H'^lf      1","f I.e., X   -l Hlf 1",201.4
188,2,". -t^^, i<.««^",". -t, i.",149.71428571428572
188,3,4t..l     1t J     %'*%!. 11,4t..l 1t J . 11,137.78571428571428
188,4,",tr_« <>.«i c4^ ^ir.   „ .tr^^. -p4t ^tf ^    r^j ,> „ n«",",tr_ .i c4 ir.  .tr. -p4t tf  rj ,  n",136.43859649122808
188,5,^   ^,,255.0
189,1,I-,I-,127.5
189,2,fl „f,fl f,90.8
189,3,"""'tr/.",tr/.,62.666666666666664
190,1,' ^,,187.66666666666666
190,2,"Tc~S, cfo «""<f, .i*') t** '^   '^","TcS, cfo f, .i) t",102.36363636363636
190,3,".7. ? X i^C*"") C"" A If"" •'«<'wtt",.7.  X iC) C A If wtt,100.28125
191,1,^e,e,139.0
191,2,^,,255.0
191,3,"*   f    """,f,189.4
191,4,.£^-,.-,191.25
191,5,"""'o^.nif",o.nif,89.25
191,6,:rr^:,:rr:,51.4
191,7,«•«:.*« A,:. A,97.33333333333333
191,8,"«, .-r.^",", .-r.",123.5
191,9,"^Xn""",Xn,127.5
191,10,"% ^.,„,v",".,,v",119.625
191,11,^ .^     .   .cZ.s.t^,. . .cZ.s.t,208.23809523809524
191,12,%t^??rJ?-,trJ-,79.44444444444444
191,13,"""*""'•'",,88.16666666666667
191,14,-^'A^,-A,174.6
191,15,f      ^?r„    4      tf      Tf,f r 4 tf Tf,192.21875
191,16,".lit   t«    *   tJ ftfr-    ""-!/ l'^ «>        '",.lit t  tJ ftfr- -/ l,156.0408163265306
191,17,"y/   \   ""311",y/ \ 311,132.15384615384616
192,1,ilM   i,ilM i,122.28571428571429
193,1,^^^&,,208.0
194,1,"^ t ^ 'rf.>r^.r::^r''""'^""'f ;f':-v/v'",t  rf.r.r::rf ;f:-v/v,99.78378378378379
194,2,^ ^,,255.0
195,1,"■'      '^OuJ'   rfAU^ ^(£l< 0?f""*5    ""N",OuJ rfAU (l 0f5 N,135.46341463414635
196,1,"""T",T,36.5
196,2,!i,i,18.5
196,3,- \,- \,92.33333333333333
197,1,■i^,i,172.0
197,2,"f.t....,","f.t....,",44.0
197,3,":-*^;:""',iY;"",.Jlif..r:;':.",":-;:,iY;,.Jlif..r:;:.",55.7037037037037
197,4,"iyi-./SJzl, 2(J., life.., ""l-it:-.-' In-. ""■'""'""'","iyi-./SJzl, 2(J., life.., l-it:-.- In-.",75.48979591836735
198,1,".«, .jWe~«, ^iS^o ».jL« «&","., .jWe, iSo .jL",109.0
199,1,SSr,SSr,25.666666666666668
199,2,PU...^„..7»..,PU.....7..,76.6923076923077
200,1,".^. x... ,",".. x... ,",171.8
200,2,".    ,    „.^  j,«U,^   .VL.^, ^«U.O  .:.cA4«  «-?»<( ^l",". , . j,U, .VL., U.O .:.cA4 -( l",138.94642857142858
201,1,":. -^.A? ^t.*, ,„*, ^« 1^-/1 *'^^'"";jfLl'^x/^'t' /. ..c",":. -.A t., ,,  1-/1 ;jfLlx/t /. ..c",112.63636363636364
201,2," ^•'™   J.U<xJV f.""A) •f-.^BJ <~S'-..-' Jt-'"" ■»«""■'-""",J.UxJV f.A) f-.BJ S-..- Jt- -,96.5
